"unitid","institution name","year","F0809_F2_RV.Private gifts - Total","DRVF2009_RV.Tuition and fees as a percent of core revenues (FASB)","DRVF2009_RV.Endowment assets (year end) per FTE enrollment (FASB)"
"100690","Amridge University","2009",,"66","301"
"100937","Birmingham Southern College","2009",,"245","47176"
"101073","Concordia College Alabama","2009",,"42","5096"
"101189","Faulkner University","2009","1798001","96","4000"
"101435","Huntingdon College","2009",,"122","37886"
"101453","Heritage Christian University","2009",,"46","89045"
"101541","Judson College","2009",,"71","30777"
"101675","Miles College","2009","3698748","31","6869"
"101693","University of Mobile","2009","3320584","85","7258"
"101912","Oakwood University","2009",,"45","2636"
"102049","Samford University","2009",,"277","52458"
"102058","Selma University","2009",,"8","4241"
"102234","Spring Hill College","2009",,"56","13185"
"102261","Southeastern Bible College","2009",,"71","8176"
"102270","Stillman College","2009","1700790","72","15432"
"102298","Talladega College","2009",,"36","8204"
"102377","Tuskegee University","2009","4659433","36","18400"
"102395","United States Sports Academy","2009",,"114","2123"
"102580","Alaska Bible College","2009",,,
"102669","Alaska Pacific University","2009","4383114","58","80673"
"103778","Thunderbird School of Global Management","2009",,"100","7338"
"103787","American Indian College of the Assemblies of God Inc","2009",,"36","1508"
"103945","College America-Flagstaff","2009",,,
"104586","Embry-Riddle Aeronautical University-Prescott","2009",,"94","6973"
"104665","Frank Lloyd Wright School of Architecture","2009",,"100",
"105367","Ottawa University-Phoenix","2009",,"103","2123"
"105589","Prescott College","2009","511161","94","508"
"105899","Arizona Christian University","2009","913867","72","2001"
"106306","Arkansas Baptist College","2009",,"19","88"
"106342","Lyon College","2009","2196961","139","102608"
"106713","Central Baptist College","2009","2024185","52","2046"
"106810","Crowley's Ridge College","2009",,"62","8859"
"107044","Harding University","2009",,"98","15601"
"107080","Hendrix College","2009",,,"99633"
"107141","John Brown University","2009","18279078","63","29178"
"107512","Ouachita Baptist University","2009",,"79","46646"
"107558","University of the Ozarks","2009",,"34","108732"
"107600","Philander Smith College","2009","4699443","40","20779"
"107877","Williams Baptist College","2009",,"30","15697"
"108269","Academy of Chinese Culture and Health Sciences","2009",,"64",
"108861","American Baptist Seminary of the West","2009",,,"89653"
"108870","American Film Institute Conservatory","2009","11150063","28","15850"
"109086","American Conservatory Theater","2009","8648170","21","217824"
"109651","Art Center College of Design","2009","4222000","105","18071"
"109785","Azusa Pacific University","2009",,"75","5398"
"110060","Bethesda University of California","2009",,"56",
"110097","Biola University","2009",,"88","9224"
"110307","Phillips Graduate Institute","2009",,"95",
"110316","California Institute of Integral Studies","2009","759648","87","1169"
"110361","California Baptist University","2009","6149223","88","2858"
"110370","California College of the Arts","2009",,"107","14756"
"110404","California Institute of Technology","2009","98555000","8","686913"
"110413","California Lutheran University","2009","7709347","101","13257"
"110468","Alliant International University","2009",,"85","255"
"110778","Sofia University","2009",,"93","3797"
"110918","California Christian College","2009",,"45","3769"
"110945","California College San Diego","2009",,,
"111081","California Institute of the Arts","2009",,"105","61575"
"111391","California Western School of Law","2009",,"100","18590"
"111948","Chapman University","2009","19673656","101","21145"
"111966","Charles R Drew University of Medicine and Science","2009",,"3","0"
"112075","Concordia University-Irvine","2009",,"91","4640"
"112084","San Diego Christian College","2009",,"77","1208"
"112127","Church Divinity School of the Pacific","2009","1784921",,"197677"
"112251","Claremont Graduate University","2009",,"61","108008"
"112260","Claremont McKenna College","2009",,,"331161"
"112446","Coleman University","2009","0","58",
"112525","Western University of Health Sciences","2009",,"86","3760"
"112570","Columbia College-Hollywood","2009",,"84",
"113537","Dell'Arte International School of Physical Theatre","2009","52522","48",
"113698","Dominican University of California","2009",,"90","9829"
"113704","Dominican School of Philosophy & Theology","2009","527357","23","16400"
"114549","Fielding Graduate University","2009","306164","99","890"
"114734","Franciscan School of Theology","2009",,"32","96970"
"114813","Fresno Pacific University","2009","1339745","116","3781"
"114840","Fuller Theological Seminary in California","2009",,"135","37014"
"115083","Golden Gate University-San Francisco","2009","1280469","107","10232"
"115214","Graduate Theological Union","2009","803223",,"97822"
"115409","Harvey Mudd College","2009",,"82","262406"
"115728","Holy Names University","2009","2435110","77","9136"
"115773","Humphreys College-Stockton and Modesto Campuses","2009","19858","94","133"
"116712","John F Kennedy University","2009",,"76","1287"
"116846","American Jewish University","2009",,"21","81590"
"117104","Life Pacific College","2009","2758194","44","6881"
"117140","University of La Verne","2009",,"83","4740"
"117168","Laguna College of Art and Design","2009",,"74","3809"
"117520","Life Chiropractic College West","2009",,"91",
"117557","Lincoln University","2009",,"97",
"117575","Southern California Seminary","2009","449826","60","778"
"117627","La Sierra University","2009","1365393","111","9136"
"117636","Loma Linda University","2009",,"57","84641"
"117672","Southern California University of Health Sciences","2009",,"88",
"117751","The Master's College and Seminary","2009","5970473","79","6234"
"117946","Loyola Marymount University","2009","22605698","135","37002"
"118541","Marymount California University","2009",,"100","16238"
"118693","Menlo College","2009",,"35","10188"
"118888","Mills College","2009","23796192","310","118884"
"119058","Monterey Institute of International Studies","2009",,"65","7403"
"119173","Mount St Mary's College","2009",,"122","31155"
"119605","National University","2009",,"164","13469"
"120184","Notre Dame de Namur University","2009","1324052","95","8108"
"120254","Occidental College","2009",,,"147468"
"120403","Otis College of Art and Design","2009","4028086","90","7821"
"120537","Hope International University","2009","2060576","37","8209"
"120698","Palo Alto University","2009",,"88","745"
"120740","Pacific Lutheran Theological Seminary","2009",,"19","69512"
"120768","Pacific Oaks College","2009","598533","104","16442"
"120795","Pacific School of Religion","2009","1308847",,"197254"
"120838","Pacific States University","2009",,"97",
"120865","Pacific Union College","2009",,"90","11913"
"120883","University of the Pacific","2009",,"81","25141"
"121150","Pepperdine University","2009","20549000","186","72827"
"121257","Pitzer College","2009",,"168","78913"
"121309","Point Loma Nazarene University","2009","5432025","105","7779"
"121345","Pomona College","2009",,,"871679"
"121628","Pardee RAND Graduate School","2009",,"50","165559"
