UnitID,Institution Name,Long-term investments (F1112_F2_RV),Property  Plant  and Equipment  net of accumulated depreciation (F1112_F2_RV),Intangible Assets  net of accumulated amortization (F1112_F2_RV),Total assets (F1112_F2_RV),Total liabilities (F1112_F2_RV),Debt related to Property  Plant  and Equipment (F1112_F2_RV),Total unrestricted net assets (F1112_F2_RV),Total restricted net assets (F1112_F2_RV),Permanently restricted net assets included in total restricted net assets (F1112_F2_RV),Temporarily restricted net assets (F1112_F2_RV),Total net assets (F1112_F2_RV),Total revenues and investment return (F1112_F2_RV),Total expenses (F1112_F2_RV),Other specific changes in net assets (F1112_F2_RV),Total change in net assets (F1112_F2_RV),Net assets  beginning of the year (F1112_F2_RV),Adjustments to beginning of year net assets (F1112_F2_RV),Net assets  end of the year (F1112_F2_RV),Investment return - Total (F1112_F2_RV)
177834,A T Still University of Health Sciences,136663579,57271296,0,226033106,72700818,39733594,100189488,53142800,37852345,15290455,153332288,111211012,107524256,0,3686756,149645532,0,153332288,734452
222178,Abilene Christian University,331709250,143751766,0,501061072,121861191,64027517,189577154,189622727,96856558,92766169,379199881,115846505,113151613,0,2694892,376504989,0,379199881,4689739
451079,Academy for Five Element Acupuncture,0,873794,0,2110847,1184255,681836,926592,0,0,0,926592,1415452,1096085,0,319367,607255,-30,926592,0
457271,Academy for Jewish Religion-California,0,11398,0,576695,74282,0,380523,121890,0,121890,502413,1518152,1424939,0,93213,409200,0,502413,4150
108269,Academy of Chinese Culture and Health Sciences,0,0,0,1248178,355091,0,893087,0,0,0,893087,1474540,1683174,0,-208634,863760,237961,893087,2404
210508,Academy of Vocal Arts,,,,,,,,,,,,,,,,,,,530078
384306,Acupuncture and Integrative Medicine College-Berkeley,1957071,427258,0,2384329,2503172,0,-118843,0,0,0,-118843,2372497,2268842,-1,103654,-222497,0,-118843,0
188429,Adelphi University,165138003,195562292,0,391861683,136235101,90146217,215715802,39910780,23932939,15977841,255626582,200339201,176805019,-163545,23370637,232255945,0,255626582,12761127
374024,Adler Graduate School,0,4963228,0,6594835,3931541,3547183,2659835,3459,0,3459,2663294,3537397,2759525,0,777872,1885422,0,2663294,1762
142832,Adler School of Professional Psychology,1343541,9102548,0,16977959,9614874,4799579,7309495,53590,5003,48587,7363085,29969911,28471684,53590,1551817,5811268,0,7363085,183530
168528,Adrian College,22989270,57227190,36533122,116749582,42989331,32504965,13125384,60634867,53657267,6977600,73760251,41317593,40934460,10320842,10703975,63056276,0,73760251,2122800
133872,Adventist University of Health Sciences,0,473262,0,19527412,4588892,0,8956630,5981890,0,5981890,14938520,29655606,29571157,1,84450,13032102,1821968,14938520,119796
138600,Agnes Scott College,245800300,107576019,0,373462891,90575644,0,52770215,230117032,75611449,154505583,282887247,25902296,45643349,-4285981,-24027034,306914281,0,282887247,-3170714
152822,AIB College of Business,7105585,9859818,0,19588723,3029495,0,16083196,476032,75370,400662,16559228,11506371,11024505,0,481866,16222290,-144928,16559228,644951
102580,Alaska Bible College,66080,3439179,0,3683727,55805,0,3506264,121658,46833,74825,3627922,1382610,1646950,0,-264340,3892262,0,3627922,2557
102669,Alaska Pacific University,59393247,17584912,0,82660899,37308406,5175484,23883183,21469310,14992205,6477105,45352493,15911347,15597757,-20638,292952,45059541,0,45352493,1907791
188526,Albany College of Pharmacy and Health Sciences,21310084,55310497,0,110490375,43586160,26858760,57769470,9134745,7481724,1653021,66904215,50628774,44345323,-347549,5935902,60968313,0,66904215,787425
188535,Albany Law School,56204208,23359290,0,90461837,24136275,17062436,43073839,23251723,19113944,4137779,66325562,29248076,27226048,0,2022028,64303534,0,66325562,1586971
188580,Albany Medical College,91375639,46410975,0,217622522,112840280,0,14356342,90425900,54398045,36027855,104782242,237538768,249626367,11812657,-274942,105057184,0,104782242,-1255445
