UnitID,Institution Name,Long-term investments (F1213_F2),Property  Plant  and Equipment  net of accumulated depreciation (F1213_F2),Intangible Assets  net of accumulated amortization (F1213_F2),Total assets (F1213_F2),Total liabilities (F1213_F2),Debt related to Property  Plant  and Equipment (F1213_F2),Total unrestricted net assets (F1213_F2),Total restricted net assets (F1213_F2),Permanently restricted net assets included in total restricted net assets (F1213_F2),Temporarily restricted net assets (F1213_F2),Total net assets (F1213_F2),Total revenues and investment return (F1213_F2),Total expenses (F1213_F2),Other specific changes in net assets (F1213_F2),Total change in net assets (F1213_F2),Net assets  beginning of the year (F1213_F2),Adjustments to beginning of year net assets (F1213_F2),Net assets  end of the year (F1213_F2),Investment return - Total (F1213_F2)
177834,A T Still University of Health Sciences,76163332,76931011,0,241716216,77548801,38817038,108482477,55684938,39200548,16484390,164167415,123965074,113129947,0,10835127,153332288,0,164167415,8956154
222178,Abilene Christian University,358939626,141628353,0,534672610,120710434,59396713,193604924,220357252,104053249,116304003,413962176,148408488,113646193,0,34762295,379199881,0,413962176,33011615
451079,Academy for Five Element Acupuncture,0,850472,0,2197289,1135339,556335,1061950,0,0,0,1061950,1241408,1106050,0,135358,926592,0,1061950,0
457271,Academy for Jewish Religion-California,144518,26762,0,516484,144770,0,89196,282518,100000,182518,371714,1431991,1562690,0,-130699,502413,0,371714,10484
108269,Academy of Chinese Culture and Health Sciences,0,0,0,1373529,655459,0,718070,0,0,0,718070,1545070,1720087,175017,0,893087,-175017,718070,2688
210508,Academy of Vocal Arts,,,,,,,,,,,,,,,,,,,2065623
384306,Acupuncture and Integrative Medicine College-Berkeley,944772,411141,0,1355913,1378940,0,-23027,0,0,0,-23027,2301829,2144320,-61693,95816,-118843,0,-23027,0
188429,Adelphi University,182198981,192137064,0,408304627,138968054,86209107,226266917,43069656,25019436,18050220,269336573,195356324,181646333,0,13709991,255626582,0,269336573,14047738
374024,Adler Graduate School,0,4931269,0,7144964,3608549,3434106,3534876,1539,0,1539,3536415,3621768,2748647,0,873121,2663294,0,3536415,1071
142832,Adler School of Professional Psychology,1592896,8472475,0,17133638,9226787,4095715,7724860,181991,5003,176988,7906851,31169187,30625421,0,543766,7363085,0,7906851,205296
168528,Adrian College,27578913,58813558,0,125502521,46461423,34977763,16323464,62717634,56157468,6560166,79041098,44684332,43009862,3606377,5280847,73760251,0,79041098,2877580
133872,Adventist University of Health Sciences,0,417480,0,19767193,4268960,0,9139685,6358548,0,6358548,15498233,29704026,29520971,0,183055,14938520,376658,15498233,210919
138600,Agnes Scott College,257939573,102727658,0,380853350,84264417,0,51890239,244698694,76614720,168083974,296588933,57939535,46559325,2321476,13701686,282887247,0,296588933,29605715
152822,AIB College of Business,8026085,11071064,0,21551286,5385451,2000000,15823290,342545,75370,267175,16165835,11850850,12110762,0,-259912,16559228,-133481,16165835,917312
102580,Alaska Bible College,23180,3212199,0,3430454,87538,0,3212124,130792,46833,83959,3342916,1316499,1601505,570012,285006,3627922,-570012,3342916,1476
102669,Alaska Pacific University,102565270,19664894,0,127662584,37929957,6533548,67721851,22010776,15104098,6906678,89732627,16886125,16782514,44291923,44395534,45337093,0,89732627,3521751
188526,Albany College of Pharmacy and Health Sciences,24959437,53983869,0,116900459,43679308,26472016,63511754,9709397,7677212,2032185,73221151,52874796,46666031,108171,6316936,66904215,0,73221151,2110868
188535,Albany Law School,65835048,23091683,0,97243832,23719000,16526342,47963612,25561220,19474608,6086612,73524832,31334101,24134831,0,7199270,66325562,0,73524832,6215354
188580,Albany Medical College,102787498,49736784,0,245590430,137428160,0,7969209,100193061,58255275,41937786,108162270,282109801,273515612,-5214161,3380028,104782242,0,108162270,15243610
128498,Albertus Magnus College,22472860,18370729,0,48770413,7459497,0,35378556,5932360,3288272,2644088,41310916,31008802,29461999,0,1546803,39764113,0,41310916,870024
168546,Albion College,195780841,92825052,0,303476850,80402872,61764623,74399050,148674928,73333159,75341769,223073978,59558266,48128602,0,11429664,211644314,0,223073978,20403999
210571,Albright College,57785112,83251971,0,163027489,62043524,39106480,45042384,55941581,35072048,20869533,100983965,59775967,51647535,474471,8602903,92381062,0,100983965,8250676
237118,Alderson Broaddus University,2114892,42941392,0,74623101,48212043,0,1418184,24992874,18847724,6145150,26411058,15746193,20028494,422127,-3860174,30271232,0,26411058,273187
188641,Alfred University,99184777,121219250,0,242941418,42483665,15525102,109601392,90856361,59625437,31230924,200457753,73586571,65693775,4617368,12510164,187947589,0,200457753,8308250
156189,Alice Lloyd College,35358175,21533865,0,63548059,1229492,0,40296481,22022086,20595610,1426476,62318567,16457335,12792935,-55355,3609045,58709522,0,62318567,3210772
210669,Allegheny College,185552392,124260054,0,339262344,75365200,55015722,103067723,160829421,83780300,77049121,263897144,95698259,76798201,472769,19372827,244524317,0,263897144,20312727
200873,Allegheny Wesleyan College,116627,892227,0,1163038,244055,105391,785947,133036,104077,28959,918983,678303,786688,0,-108385,1027368,0,918983,2585
152798,Allen College,4598545,0,0,5058281,544458,0,293007,4220816,1872768,2348048,4513823,8601050,7173954,0,1427096,8001141,-4914414,4513823,151
217624,Allen University,3888453,37194605,103134,43570021,39578290,25479283,3678847,312884,312884,0,3991731,16641547,17419803,0,-778256,4769987,0,3991731,29752
110468,Alliant International University,9971918,60886477,0,93539787,43538192,16000000,39882516,10119079,1333343,8785736,50001595,74205832,76146289,-301371,-2241828,52243423,0,50001595,446396
168591,Alma College,111651766,54156957,0,180176884,32779685,0,36379719,111017480,49868835,61148645,147397199,49681490,44009065,0,5672425,141724774,0,147397199,5076395
210775,Alvernia University,20572623,102729849,0,128884709,75410551,60933761,43112514,10361644,9126172,1235472,53474158,54895109,50442109,0,4453000,49021158,0,53474158,1985147
238193,Alverno College,41964955,31448761,0,89829351,18665690,0,20770630,50393031,15799299,34593732,71163661,51580714,41876483,0,9704231,61459430,0,71163661,2736586
219505,American Baptist College,621284,660627,0,2656539,271286,45254,935474,1449779,621284,828495,2385253,1841840,2174473,0,-332633,2789729,-71843,2385253,65059
108861,American Baptist Seminary of the West,4865628,10001476,0,17273787,4198306,0,6749472,6326009,5096659,1229350,13075481,2995112,2366903,0,628209,12447272,0,13075481,345962
430591,American College of Traditional Chinese Medicine,0,474917,0,3535847,1564131,0,888863,1082853,1082853,0,1971716,5142995,4763420,0,379575,1592141,0,1971716,9809
109086,American Conservatory Theater,19713579,23693226,0,49861302,8123420,130273,8066986,33670896,26052591,7618305,41737882,23138823,21176064,0,1962759,39775123,0,41737882,0
108870,American Film Institute Conservatory,16483995,10823893,0,47882739,7221054,4412775,24177690,16483995,7561179,8922816,40661685,33461533,32247987,3835726,5049272,35612413,0,40661685,553719
103787,American Indian College of the Assemblies of God Inc,209187,1504223,0,2266523,2447707,2190176,-425622,244438,109862,134576,-181184,1596770,1921565,0,-324795,143611,0,-181184,9934
164447,American International College,10199296,34368462,0,53423269,21087321,11409056,19084965,13250983,9033598,4217385,32335948,51055424,44796317,0,6259107,26076841,0,32335948,812265
116846,American Jewish University,94592375,42405225,0,153915408,46419145,25080773,33686563,73809700,20148396,53661304,107496263,23491261,23921369,8719391,8289283,99206980,0,107496263,2407405
188854,American Musical and Dramatic Academy,0,47489907,0,69378452,49707284,0,19671168,0,0,0,19671168,51018391,49371595,1972913,3619709,16051459,0,19671168,32483
131159,American University,765979000,519380000,0,1419400000,543348000,383930000,688893000,187159000,95256000,91903000,876052000,554515000,463985000,0,90530000,785522000,0,876052000,66816000
164465,Amherst College,2182988107,363175075,0,2728400217,543880627,207975000,781084891,1403434699,446674476,956760223,2184519590,367027232,175812917,-1358968,189855347,1994664243,0,2184519590,254933360
100690,Amridge University,7119735,2885725,0,12274714,3335057,2000000,8361389,578268,174805,403463,8939657,11138638,8820585,0,2318053,6621604,0,8939657,3422665
151865,Anabaptist Mennonite Biblical Seminary,16098176,8942324,0,26930737,488879,0,11196930,15244928,12080312,3164616,26441858,5454744,4356478,0,1098266,25343592,0,26441858,1457248
150066,Anderson University,30988000,72117000,1786000,143892000,69255000,45384000,34553000,40084000,37353000,2731000,74637000,54426000,50717000,0,3709000,77440000,-6512000,74637000,3969000
217633,Anderson University,21972633,48114582,0,106069020,24407354,15739846,50329273,31332393,18230825,13101568,81661666,47222666,37180686,0,10041980,71619686,0,81661666,3600828
164474,Andover Newton Theological School,17724480,11190776,194561,35799866,12259823,879134,6133184,17406859,14345422,3061437,23540043,7452457,7166205,31991,318243,23221800,0,23540043,1495052
168740,Andrews University,49619294,103029301,0,171520120,41895095,20844286,82909659,46715366,23998939,22716427,129625025,103808750,96908664,0,6900086,122724939,0,129625025,4690908
164492,Anna Maria College,5086306,36666190,255753,49053335,31718718,28102940,15933627,1400990,622601,778389,17334617,24626743,25615866,0,-989123,18323740,0,17334617,280040
245838,Antioch University-Los Angeles,,,,,,,,,,,,,,,,,,,
245892,Antioch University-Midwest,,,,,,,,,,,,,,,,,,,
245865,Antioch University-New England,,,,,,,,,,,,,,,,,,,
245847,Antioch University-Santa Barbara,,,,,,,,,,,,,,,,,,,
245883,Antioch University-Seattle,,,,,,,,,,,,,,,,,,,
441511,Apex School of Theology,1409,0,0,7441055,2072950,0,5368105,0,0,0,5368105,4298445,2895127,0,1403318,3964787,0,5368105,0
237136,Appalachian Bible College,279778,12856841,0,14434313,8032101,0,4456092,1946120,1363900,582220,6402212,5716451,6165988,0,-449537,6851749,0,6402212,51254
449922,Appalachian College of Pharmacy,10504869,10948671,0,21453540,464004,0,20392189,597347,0,597347,20989536,8011881,6630161,0,1381720,19607816,0,20989536,29342
432348,Appalachian School of Law,4371936,14465204,0,29110621,880744,468221,23615961,4613916,3721883,892033,28229877,7706049,7453355,0,252694,27977183,0,28229877,359109
168786,Aquinas College,28578347,40730447,208799,85180217,28175047,18659730,19282483,37722687,19491755,18230932,57005170,40989976,36619690,0,4370286,52634884,0,57005170,4083315
219578,Aquinas College,8925786,2483666,0,20525135,299644,0,11102438,9123053,2921235,6201818,20225491,11278494,10111533,0,1166961,19058530,0,20225491,1036301
176600,Aquinas Institute of Theology,2271481,3343022,0,5805337,1991972,1497717,1584901,2228464,0,2228464,3813365,2105090,2645283,0,-540193,4353558,0,3813365,-152729
211088,Arcadia University,61567000,119672000,351000,224904000,112075000,77840000,87110000,25719000,16735000,8984000,112829000,90043000,76173000,0,13870000,98959000,0,112829000,12025000
105899,Arizona Christian University,655033,15272086,1460848,23818882,12102836,9020000,9596088,2119958,1923396,196562,11716046,10644781,11075577,0,-430796,12146842,0,11716046,234585
106306,Arkansas Baptist College,117046,27266851,479075,32166633,19802630,14022935,12364003,0,0,0,12364003,15295921,15081058,0,214863,12149140,0,12364003,14366
222877,Arlington Baptist College,33058,2266440,0,3007500,1032485,0,1709350,265665,232607,33058,1975015,2913887,3113640,18103,-181650,2156665,0,1975015,0
201061,Art Academy of Cincinnati,865804,4217872,0,7078763,2019126,195539,3785663,1273974,1028515,245459,5059637,5834861,12490561,919446,-5736254,11621182,-825291,5059637,50480
109651,Art Center College of Design,94465000,50029000,0,187501000,66565000,47210000,53747000,67189000,45202000,21987000,120936000,106608000,83238000,0,23370000,97566000,0,120936000,7513000
156222,Asbury Theological Seminary,144100579,89497535,0,247564655,17396711,7681699,74117771,156050173,103480756,52569417,230167944,32856854,23906051,0,8950803,221217141,0,230167944,14626824
156213,Asbury University,41073925,52300761,0,109171749,14764152,8003013,55246995,39160602,29857095,9303507,94407597,38593357,32552799,0,6040558,88367039,0,94407597,2697919
201104,Ashland University,48386718,148947463,0,232711032,103054681,80351687,74603248,55053103,35112031,19941072,129656351,102398439,99285453,0,3112986,126543365,0,129656351,5054727
176619,Assemblies of God Theological Seminary,0,3402872,0,7284935,2353284,515609,2138850,2792801,1989521,803280,4931651,4946554,5008717,0,-62163,4993814,0,4931651,184008
164562,Assumption College,94497364,79145380,0,200178882,52875538,0,114787637,32515707,20435806,12079901,147303344,66585290,67142782,15434848,14877356,132425988,0,147303344,1828345
439446,Atlantic Institute of Oriental Medicine,0,59245,0,1803448,247827,0,1555621,0,0,0,1555621,2258311,2065771,0,192540,1363081,0,1555621,9267
173045,Augsburg College,36487527,65547015,378501,128938582,47938264,32555138,34528753,46471565,28638118,17833447,81000318,79100335,73198194,0,5902141,75098177,0,81000318,6048703
417345,Augusta Area Dietetic Internship-University Hospital,,,,,,,,,,,,,,,,,,,0
143084,Augustana College,143645706,127162426,0,318151270,88473734,66363516,120691438,108986098,69587709,39398389,229677536,91948175,69102191,-739834,22106150,207571386,0,229677536,12405944
219000,Augustana College,66122653,56146305,0,141131915,28634411,14047703,35716983,76780521,50615579,26164942,112497504,58208763,45483919,676876,13401720,99095784,0,112497504,7239237
201177,Aultman College of Nursing and Health Sciences,,,,,,,,,,,,,,,,,,,119452
143118,Aurora University,44515812,87302297,0,149718319,48323285,34980641,60354332,41040702,20149658,20891044,101395034,71759012,62877672,-773742,8107598,93287436,0,101395034,4251080
222983,Austin College,128174290,96648008,0,251487194,57781189,40077062,60574044,133131961,102655084,30476877,193706005,47836564,42660486,278116,5454194,188251811,0,193706005,10549451
247825,Austin Graduate School of Theology,3933333,4619630,0,9222889,977913,0,6898881,1346095,1208510,137585,8244976,1756412,1307037,0,449375,7795601,0,8244976,289838
223001,Austin Presbyterian Theological Seminary,107081446,19569209,0,153462206,867452,0,78111267,74483487,57852775,16630712,152594754,21420215,8689027,0,12731188,139863566,0,152594754,9331713
442295,Ave Maria School of Law,555518,2358496,0,4680568,5743057,0,-2129234,1066745,555518,511227,-1062489,12775853,12501080,0,274773,-1337262,0,-1062489,66144
446048,Ave Maria University,6508991,221604423,2000000,340020595,72460629,56420769,258248517,9311449,1603081,7708368,267559966,28523766,38894167,0,-10370401,277930367,0,267559966,3820937
231420,Averett University,21880442,31299256,0,53211551,24386903,14206329,-1947119,30771767,18337790,12433977,28824648,28343729,25439723,0,2904006,25920642,0,28824648,2321269
449931,Averett University-Non-Traditional Programs,0,0,0,16345866,1712607,0,14633259,0,0,0,14633259,10625854,9432340,0,1193514,13439745,0,14633259,0
176628,Avila University,8280256,31311478,0,51138251,26021654,21445629,12117463,12999134,8715175,4283959,25116597,31139838,27231004,0,3908834,21207763,0,25116597,892898
474863,Azusa Pacific Online University,0,417086,0,837610,2028722,0,-1257222,66110,0,66110,-1191112,3391767,4896057,0,-1504290,313178,0,-1191112,0
109785,Azusa Pacific University,95251096,229488093,0,358057963,176810220,136382862,118157513,63090230,28733533,34356697,181247743,235966014,233594974,8889403,11260443,169987300,0,181247743,7991282
164580,Babson College,275519968,126374507,0,500352597,154110144,106241227,145004129,201238324,99336405,101901919,346242453,210886044,167543235,-15941,43326868,302915585,0,346242453,39033877
206817,Bacone College,7528710,16166535,0,25471178,7839252,0,8192909,9439017,7265992,2173025,17631926,14693030,14747907,0,-54877,17686803,0,17631926,1123084
458159,Bainbridge Graduate Institute,0,98506,622591,2313885,1938169,0,-110905,486621,0,486621,375716,5375522,5125380,0,250142,125574,0,375716,9808
476601,Bais HaMedrash and Mesivta of Baltimore,0,3922025,15984,5026464,2263088,1699728,2763376,0,0,0,2763376,1591492,1578664,0,12828,2750548,0,2763376,58
245777,Bais Medrash Elyon,0,595975,0,814277,124674,0,689603,0,0,0,689603,935014,884588,0,50426,639177,0,689603,0
449658,Bais Medrash Toras Chesed,0,2575625,592552,3168177,1694693,1643701,1473484,0,0,0,1473484,1370612,1312930,0,57682,1415802,0,1473484,0
414708,Baker College Center for Graduate Studies,,,,,,,,,,,,,,,,,,,
444167,Baker College of Allen Park,,,,,,,,,,,,,,,,,,,
404073,Baker College of Auburn Hills,,,,,,,,,,,,,,,,,,,
404648,Baker College of Cadillac,,,,,,,,,,,,,,,,,,,
404082,Baker College of Clinton Township,,,,,,,,,,,,,,,,,,,
168847,Baker College of Flint,261070872,225638238,60000,598060781,53093447,9061824,541551894,3415440,2203559,1211881,544967334,259799940,230835058,9010230,37975112,506992222,0,544967334,16092692
414160,Baker College of Jackson,,,,,,,,,,,,,,,,,,,
171298,Baker College of Muskegon,,,,,,,,,,,,,,,,,,,
168838,Baker College of Owosso,,,,,,,,,,,,,,,,,,,
381617,Baker College of Port Huron,,,,,,,,,,,,,,,,,,,
154688,Baker University,37524280,44121395,0,100632800,41566156,15006880,21805419,37261225,31954510,5306715,59066644,43405759,40533712,0,2872047,56194597,0,59066644,0
420705,Bakke Graduate University,6314,28130,0,335700,181973,0,121352,32375,0,32375,153727,886131,871757,0,14374,139353,0,153727,3140
201195,Baldwin Wallace University,121208886,135776038,0,290788207,34515573,17030000,59632449,196640185,107585175,89055010,256272634,106457054,89617748,0,16839306,239433328,0,256272634,15121348
189015,Bank Street College of Education,32937537,13155501,0,69613089,24860148,0,19670285,25082656,16151334,8931322,44752941,51349304,52877697,4882244,3353851,41399090,0,44752941,377667
176664,Baptist Bible College,187993,6246979,0,6972027,3639447,2919741,3082935,249645,0,249645,3332580,5349384,6376752,0,-1027368,4359948,0,3332580,3399
211024,Baptist Bible College & Seminary of Pennsylvania,10243205,13242623,0,24826755,13262667,3394467,5599862,5964226,2089537,3874689,11564088,14973753,13955281,0,1018472,10545616,0,11564088,364998
219639,Baptist Memorial College of Health Sciences,0,2617310,0,30094675,6590165,0,22856679,647831,0,647831,23504510,18572256,14923090,-1395150,2254016,21250494,0,23504510,3157676
223117,Baptist Missionary Association Theological Seminary,1149249,670839,0,2378840,17716,0,1036794,1324330,1042351,281979,2361124,1580523,1590625,-1,-10103,2371226,1,2361124,75156
366793,Baptist Theological Seminary at Richmond,4706853,4282643,0,10248186,4765376,0,4273119,1209691,163337,1046354,5482810,3451086,2958284,0,492802,6044317,-1054309,5482810,340009
444398,Baptist University of the Americas,2394415,15030115,0,18141621,9229281,8958913,6000560,2911780,1983913,927867,8912340,5775610,4098722,0,1676888,7235443,9,8912340,234726
155070,Barclay College,1317948,5072493,0,6810049,1427951,760122,4477578,904520,158331,746189,5382098,8552857,7439493,0,1113364,4268734,0,5382098,91492
189088,Bard College,166915611,222955124,0,512111926,198614872,148064400,47181878,266315176,89398723,176916453,313497054,143581298,157668098,2,-14086798,327583852,0,313497054,29512151
167792,Bard College at Simon's Rock,13239785,40529319,0,57647373,15416938,10215506,21423752,20806683,19604256,1202427,42230435,17125331,19513185,0,-2387854,44618289,0,42230435,1386940
189097,Barnard College,250205000,146596000,0,462114000,126137000,84767000,85046000,250931000,133375000,117556000,335977000,171791000,132683000,642000,39750000,296227000,0,335977000,31527000
177719,Barnes-Jewish College Goldfarb School of Nursing,0,0,0,25429183,0,0,0,25429183,25429183,0,25429183,21564758,17960702,0,3604056,23019097,-1193970,25429183,1659990
132471,Barry University,29993573,120470269,0,217159449,103158867,80580470,91697087,22303495,16726101,5577394,114000582,174364223,165793886,-104959,8465378,105535204,0,114000582,2659928
197911,Barton College,25051457,31202291,0,61503622,17973427,10016273,14415416,29114779,21830548,7284231,43530195,24915373,22200752,0,2714621,40815574,0,43530195,3048286
235547,Bastyr University,2943689,31722571,0,48191792,30073592,23586467,16254598,1863602,1019971,843631,18118200,36354951,35194911,543552,1703592,16414608,0,18118200,75201
160977,Bates College,268199108,144086364,0,449942982,100239179,60910450,116660981,233042822,147641926,85400896,349703803,116431055,99287008,2270611,19414658,330289145,0,349703803,15234316
